cut\energy	_3p0_FXT	_3p2_FXT	_3p5_FXT	_3p9_FXT	_4p5_FXT	_7p7_FXT	_7p7_COL	_9p2_COL	_11p5_COL	_14p5_COL	_19p6_COL	_27p0_COL	_39p0_COL	_54p0_COL	_62p4_COL	_200p0_COL
Trigger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520001,520011,520021,520031,520041,520051
VzMin	198	198	198	198	198	198	-140	-50	-50	-70	-70	-70	-40	-40	-40	-6
VzMax	202	202	202	202	202	202	140	50	50	70	70	70	40	40	40	6
VrCut	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
nHitsMin	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	20
nHitsFitMin        15      15      15      15      15      15      15      15      15      15      15      15      15      15      15      20
nHitsDedxMin	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
dcaMax	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1.5
VzVpdMin  -3      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3      -3
VzVpdMax  3       3       3       3       3       3       3       3       3       3       3       3       3       3       3       3
																
																
																
																
																
																
																
																
																
																
																
																
																
																
